term,label,definition
http://purl.obolibrary.org/obo/DDPHENO_0000183,decreased number of astral microtubules,"Reduction in extent, amount, or degree of astral microtubules."
http://purl.obolibrary.org/obo/DDPHENO_0001217,aberrant cellular localization,"Deviation from the normal, usual, or expected events during localization within the cell."
http://purl.obolibrary.org/obo/DDPHENO_0001511,aberrant protein localization to cell surface,"Deviation from the normal, usual, or expected events during localization of a protein to the cell surface."
http://purl.obolibrary.org/obo/DDPHENO_0000108,increased intracellular glucose level,Increase in amount or accumulation of cytosolic glucose.
http://purl.obolibrary.org/obo/DDPHENO_0000402,increased intracellular cAMP level,Increase in amount or accumulation of intracellular cAMP.
http://purl.obolibrary.org/obo/DDPHENO_0000196,increased protein kinase A activity,"Increase in extent, amount, or degree of  protein kinase A activity."
http://purl.obolibrary.org/obo/DDPHENO_0001052,decreased bleb formation,"Reduction in extent, amount, or degree of bleb formation."
http://purl.obolibrary.org/obo/DDPHENO_0000490,decreased extracellular Ca2+ uptake,"Reduction in extent, amount, or degree of uptake of extracellular calcium."
http://purl.obolibrary.org/obo/DDPHENO_0001524,aberrant chromatin assembly,"Deviation from the normal, usual, or expected during chromatin assembly."
http://purl.obolibrary.org/obo/DDPHENO_0000415,mislocalized prespore gene expression,Prestalk gene expression occurring in an abnormal position or in an unusual manner or form.
http://purl.obolibrary.org/obo/DDPHENO_0001065,increased myosin light chain kinase activation,"Increase in extent, amount, or degree of activation of myosin light chain kinase."
http://purl.obolibrary.org/obo/DDPHENO_0000250,increased single-strand break repair,"Increased tolerance of the normal, usual, or expected events in single-strand break repair of DNA."
http://purl.obolibrary.org/obo/DDPHENO_0000428,decreased fatty acid level,"Reduction in extent, amount or accumulation of fatty acid."
http://purl.obolibrary.org/obo/DDPHENO_0001078,aberrant mitochondrion morphology,"Deviation from the normal, usual, or expected morphology of the mitochondrion."
http://purl.obolibrary.org/obo/DDPHENO_0001372,decreased upper cup size,Reduction in relative or proportionate dimensions of the upper cup.
